SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;cod_rete;comune;provincia;nome_rete;area;cod_reg;Comments;State
723;16459;Catania/Sigonella;14.91667;37.4;22;NA;22;SICILIA;16459;1;LENTINI;SIRACUSA;NA;sud;19;NA;Italy
724;16460;Catania/Fontanarossa;15.05;37.48;11;NA;11;SICILIA;16460;1;CATANIA;CATANIA;NA;sud;19;NA;Italy
725;16470;Pantelleria;11.96667;36.82;191;NA;191;SICILIA;16470;1;PANTELLERIA;TRAPANI;NA;sud;19;NA;Italy
726;16480;Cozzo Spadaro;15.13333;36.68;46;NA;46;SICILIA;16480;1;PORTOPALO DI CAPO PASSERO;SIRACUSA;NA;sud;19;NA;Italy
727;16490;Lampedusa;12.6;35.5;16;NA;16;SICILIA;16490;1;LAMPEDUSA E LINOSA;AGRIGENTO;NA;sud;19;NA;Italy
728;16506;Guardiavecchia;9.4;41.22;158;NA;158;SARDEGNA;16506;1;LA MADDALENA;SASSARI;NA;sud;20;NA;Italy
729;16520;Alghero;8.28333;40.63;23;NA;23;SARDEGNA;16520;1;ALGHERO;SASSARI;NA;sud;20;NA;Italy
730;16522;Capo Caccia;8.16667;40.57;200;NA;200;SARDEGNA;16522;1;ALGHERO;SASSARI;NA;sud;20;NA;Italy
731;16531;Olbia/Costa Smeralda;9.51667;40.9;11;NA;11;SARDEGNA;16531;1;OLBIA;SASSARI;NA;sud;20;NA;Italy
732;16538;Fonni;9.25;40.12;1022;NA;1022;SARDEGNA;16538;1;FONNI;NUORO;NA;sud;20;NA;Italy
733;16539;Capo Frasca;8.46667;39.75;89;NA;89;SARDEGNA;16539;1;ARBUS;CAGLIARI;NA;sud;20;NA;Italy
734;16541;Perdasdefogu;9.43333;39.67;608;NA;608;SARDEGNA;16541;1;PERDASDEFOGU;NUORO;NA;sud;20;NA;Italy
735;16542;Capo S.Lorenzo;9.63333;39.5;4;NA;4;SARDEGNA;16542;1;VILLAPUTZU;CAGLIARI;NA;sud;20;NA;Italy
736;16546;Decimomannu;8.96667;39.35;29;NA;29;SARDEGNA;16546;1;VILLASOR;CAGLIARI;NA;sud;20;NA;Italy
737;16548;Carloforte;8.31667;39.13;14;NA;14;SARDEGNA;16548;1;CARLOFORTE;CAGLIARI;NA;sud;20;NA;Italy
