SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;COD_RETE
9110;08CASTFRANCOAGRO;CASTFRANCOAGRO;11.02171;44.62874;33;NA;33;Emilia;15
9111;08CASTIONEMARCH;CASTIONEMARCH;10.03555;44.91667;52;NA;52;Emilia;15
9112;08CASTROCARO;CASTROCARO;11.94938;44.17014;70;NA;70;Emilia;15
9113;08CASTSPIETROAGRO;CASTSPIETROAGRO;11.59036;44.40475;65;NA;65;Emilia;15
9114;08CATTOLICATELE;CATTOLICATELE;12.73278;43.95537;14;NA;14;Emilia;15
9115;08CAVEZZO;CAVEZZO;11.00392;44.86304;19;NA;19;Emilia;15
9116;08CAVRIAGOARGO;CAVRIAGOARGO;10.50506;44.68524;96;NA;96;Emilia;15
9117;08CERESETO;CERESETO;9.68578;44.56738;632;NA;632;Emilia;15
9118;08CERRETOLAGHI;CERRETOLAGHI;10.23856;44.29874;1402;NA;1402;Emilia;15
9119;08CERVIA;CERVIA;12.31891;44.27249;2;NA;2;Emilia;15
9120;08CESENA;CESENA;12.21848;44.14397;34;NA;34;Emilia;15
9121;08CESENATICO;CESENATICO;12.39741;44.20713;1;NA;1;Emilia;15
9122;08CESENAURB;CESENAURB;12.236510000000001;44.13509;39;NA;39;Emilia;15
9123;08CHIAVICHETTA;CHIAVICHETTA;11.26889;44.88334;10;NA;10;Emilia;15
9124;08CIVAGO;CIVAGO;10.46578;44.24718;1159;NA;1159;Emilia;15
9125;08CIVITELLA;CIVITELLA;11.94528;43.99351;460;NA;460;Emilia;15
9126;08CLASSE;CLASSE;12.26498;44.35339;2;NA;2;Emilia;15
9127;08CODIGORO;CODIGORO;12.09771;44.83513;2;NA;2;Emilia;15
9128;08COGNENTO;COGNENTO;10.87902;44.63994;39;NA;39;Emilia;15
9129;08COLLAGNA;COLLAGNA;10.27118;44.34477;829;NA;829;Emilia;15
9130;08COLLECCHIO;COLLECCHIO;10.22401;44.74477;123;NA;123;Emilia;15
9131;08COPPAROAGRO;COPPAROAGRO;11.81817;44.90775;4;NA;4;Emilia;15
9132;08CORCAGNANO;CORCAGNANO;10.30248;44.71738;122;NA;122;Emilia;15
9133;08CORNACERVINA;CORNACERVINA;11.92131;44.77753;2;NA;2;Emilia;15
9134;08CORNIOLO;CORNIOLO;11.79302;43.90712;568;NA;568;Emilia;15
9135;08CORNOLO;CORNOLO;9.5513;44.56572;1095;NA;1095;Emilia;15
9136;08CORREGGIOAGRO;CORREGGIOAGRO;10.76922;44.7374;35;NA;35;Emilia;15
9137;08COSCOGNO;COSCOGNO;10.86917;44.40071;361;NA;361;Emilia;15
9138;08COTTEDE;COTTEDE;11.16929;44.10963;838;NA;838;Emilia;15
9139;08COTTEDEMEC;COTTEDEMEC;11.16929;44.10963;838;NA;838;Emilia;15
9140;08CROCEDEIMORTI;CROCEDEIMORTI;10.41889;44.83333;31;NA;31;Emilia;15
9141;08CUCCARANGONA;CUCCARANGONA;11.33556;44.95;10;NA;10;Emilia;15
9142;08CUSERCOLIAGRO;CUSERCOLIAGRO;11.97452;44.03625;320;NA;320;Emilia;15
9143;08DENEREALEOTTI;DENEREALEOTTI;11.8438;44.78279;2;NA;2;Emilia;15
9144;08DOCCIAFIUMALBO;DOCCIAFIUMALBO;10.67309;44.19014;1386;NA;1386;Emilia;15
9145;08DOSSO;DOSSO;11.34976;44.7642;16;NA;16;Emilia;15
9146;08FAENZA;FAENZA;11.88623;44.29127;34;NA;34;Emilia;15
9147;08FARFANARO;FARFANARO;9.6795;44.5667;736;NA;736;Emilia;15
